City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Rain,Snow,Date
151,Santo Amaro Da Imperatriz,-27.69,-48.78,80.6,83,75,10.29,BR,broken clouds,0.37,0.0,2020-02-20 22:47:54
152,Petropavlovsk-Kamchatskiy,53.05,158.65,1.4,54,100,11.18,RU,overcast clouds,0.0,0.0,2020-02-20 22:43:29
153,Erie,42.77,-78.67,25.0,49,75,12.75,US,broken clouds,0.0,0.13,2020-02-20 22:44:38
154,Molochnoye,59.29,39.68,30.96,97,94,3.6,RU,overcast clouds,0.0,0.0,2020-02-20 22:47:56
155,Maceio,-9.67,-35.74,75.2,94,75,6.93,BR,light rain,0.0,0.0,2020-02-20 22:46:07
156,Aklavik,68.22,-135.01,3.2,71,75,2.24,CA,broken clouds,0.0,0.0,2020-02-20 22:47:57
157,Constitucion,-35.33,-72.42,57.15,57,0,2.82,CL,clear sky,0.0,0.0,2020-02-20 22:47:57
158,Nyurba,63.28,118.33,6.03,96,100,4.21,RU,overcast clouds,0.0,0.0,2020-02-20 22:47:58
159,Udachnyy,66.42,112.4,-0.4,84,13,6.71,RU,few clouds,0.0,0.0,2020-02-20 22:47:58
160,Vardo,70.37,31.11,23.0,67,75,28.86,NO,broken clouds,0.0,0.0,2020-02-20 22:47:59
161,Hearst,49.68,-83.67,14.63,74,100,12.84,CA,overcast clouds,0.0,0.0,2020-02-20 22:48:00
162,San Patricio,19.22,-104.7,84.2,74,20,11.41,MX,few clouds,0.0,0.0,2020-02-20 22:48:00
163,Porto Velho,-8.76,-63.9,82.4,83,75,4.76,BR,shower rain,3.94,0.0,2020-02-20 22:46:06
164,Hermiston,45.84,-119.29,51.01,39,1,5.82,US,clear sky,0.0,0.0,2020-02-20 22:48:01
165,Narsaq,60.92,-46.05,32.0,56,100,14.99,GL,overcast clouds,0.0,0.0,2020-02-20 22:48:02
166,Yar-Sale,66.83,70.83,25.09,96,100,7.29,RU,light snow,0.0,1.06,2020-02-20 22:48:02
167,Tura,25.52,90.22,63.34,57,58,3.0,IN,broken clouds,0.0,0.0,2020-02-20 22:48:03
168,Eyl,7.98,49.82,77.16,82,45,14.72,SO,scattered clouds,0.0,0.0,2020-02-20 22:48:03
169,Bilibino,68.05,166.44,-20.7,95,100,1.81,RU,overcast clouds,0.0,0.0,2020-02-20 22:48:04
170,Port Shepstone,-30.74,30.45,69.22,92,4,6.38,ZA,clear sky,0.0,0.0,2020-02-20 22:48:05
171,Ancud,-41.87,-73.82,68.0,42,0,5.82,CL,clear sky,0.0,0.0,2020-02-20 22:48:05
172,Sosnovo-Ozerskoye,52.52,111.54,-4.38,95,64,5.73,RU,broken clouds,0.0,0.0,2020-02-20 22:46:28
173,Bertoua,4.58,13.68,72.25,35,9,2.68,CM,clear sky,0.0,0.0,2020-02-20 22:48:07
174,Victoria,22.29,114.16,62.6,72,0,10.29,HK,clear sky,0.0,0.0,2020-02-20 22:47:41
175,Chuy,-33.7,-53.46,60.98,58,5,11.79,UY,clear sky,0.0,0.0,2020-02-20 22:48:08
176,Saint Anthony,45.02,-93.22,15.8,33,1,6.93,US,clear sky,0.0,0.0,2020-02-20 22:48:08
177,Talnakh,69.49,88.4,14.0,92,90,6.71,RU,mist,0.0,0.0,2020-02-20 22:46:52
178,Jaguariaiva,-24.25,-49.71,68.07,97,100,2.37,BR,overcast clouds,0.0,0.0,2020-02-20 22:48:09
179,Niksar,40.59,36.95,32.85,70,62,9.44,TR,broken clouds,0.0,0.0,2020-02-20 22:48:10
180,Dicabisagan,17.08,122.42,73.63,84,31,15.86,PH,light rain,1.69,0.0,2020-02-20 22:48:10
181,Shizuishan,39.23,106.77,27.48,49,82,14.56,CN,broken clouds,0.0,0.0,2020-02-20 22:48:11
182,Hilo,19.73,-155.09,78.8,54,75,5.82,US,broken clouds,0.25,0.0,2020-02-20 22:43:16
183,Kudahuvadhoo,2.67,72.89,83.39,76,25,15.32,MV,light rain,0.19,0.0,2020-02-20 22:48:13
184,Charlestown,-32.95,151.67,77.0,57,40,6.93,AU,scattered clouds,0.0,0.0,2020-02-20 22:43:15
185,Roswell,34.02,-84.36,42.01,93,90,3.36,US,light rain,1.19,0.0,2020-02-20 22:47:20
186,Hay River,60.82,-115.8,39.2,41,20,14.99,CA,few clouds,0.0,0.0,2020-02-20 22:48:14
187,Karachi,24.91,67.08,69.8,28,0,13.87,PK,clear sky,0.0,0.0,2020-02-20 22:48:15
188,Yaan,7.38,8.57,81.28,16,2,3.24,NG,clear sky,0.0,0.0,2020-02-20 22:48:15
189,Arraial Do Cabo,-22.97,-42.03,78.8,83,0,10.29,BR,clear sky,0.0,0.0,2020-02-20 22:44:23
190,Port Lincoln,-34.73,135.87,62.4,65,99,12.93,AU,overcast clouds,0.0,0.0,2020-02-20 22:48:16
191,Karaton,-6.34,106.1,77.0,94,40,3.36,ID,scattered clouds,0.0,0.0,2020-02-20 22:48:17
192,Novikovo,51.15,37.89,29.12,82,43,1.81,RU,scattered clouds,0.0,0.0,2020-02-20 22:48:17
193,Port Augusta,-32.5,137.77,64.4,63,27,12.75,AU,scattered clouds,0.0,0.0,2020-02-20 22:48:18
194,Tabou,4.42,-7.35,77.68,91,35,2.68,CI,scattered clouds,0.0,0.0,2020-02-20 22:48:18
195,Okha,53.57,142.95,0.88,88,81,9.98,RU,broken clouds,0.0,0.0,2020-02-20 22:48:19
196,Asau,46.43,26.4,36.0,83,90,2.24,RO,overcast clouds,0.0,0.0,2020-02-20 22:48:19
197,Vung Tau,10.35,107.08,73.13,68,0,5.21,VN,clear sky,0.0,0.0,2020-02-20 22:48:20
198,Alagoa Grande,-7.16,-35.63,71.6,94,75,6.93,BR,broken clouds,1.56,0.0,2020-02-20 22:48:21
199,Awbari,26.59,12.78,53.69,36,0,7.99,LY,clear sky,0.0,0.0,2020-02-20 22:48:21
