City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Port Blair,IN,2020-02-19 19:03:33,11.67,92.75,80.55,83,100,12.33
118,Faanui,PF,2020-02-19 19:03:33,-16.48,-151.75,82.24,78,65,15.48
119,Sabaudia,IT,2020-02-19 19:03:33,41.3,13.03,51.8,93,45,3.36
120,Aykhal,RU,2020-02-19 19:03:33,66.0,111.5,1.4,84,100,4.47
121,Santo Antonio Do Sudoeste,BR,2020-02-19 19:01:05,-26.07,-53.73,89.51,56,52,2.3
122,Talaya,RU,2020-02-19 19:03:34,61.38,152.75,-25.82,100,100,0.94
123,Henties Bay,NA,2020-02-19 19:03:34,-22.12,14.28,66.0,90,100,10.54
124,Chuy,UY,2020-02-19 19:03:34,-33.7,-53.46,83.77,41,1,5.23
125,Preobrazheniye,RU,2020-02-19 19:03:34,42.9,133.91,17.15,73,0,5.28
126,West Helena,US,2020-02-19 19:03:34,34.55,-90.64,51.01,66,100,12.33
127,Tual,ID,2020-02-19 19:03:35,-5.67,132.75,79.45,88,100,22.66
128,Lebu,CL,2020-02-19 19:03:35,-37.62,-73.65,66.76,37,0,14.27
129,Ystad,SE,2020-02-19 19:03:35,55.43,13.82,39.2,93,83,9.17
130,Codrington,AU,2020-02-19 19:03:35,-38.27,141.97,58.26,73,100,14.92
131,Zavetnoye,RU,2020-02-19 19:03:36,47.12,43.89,39.79,70,0,6.53
132,Solnechnyy,RU,2020-02-19 19:03:36,50.72,136.63,2.86,92,98,0.72
133,Gornopravdinsk,RU,2020-02-19 19:03:36,60.05,69.9,32.22,97,100,10.0
134,Champerico,GT,2020-02-19 19:03:36,14.3,-91.92,95.0,39,5,6.93
135,Bowen,AU,2020-02-19 19:03:36,-20.02,148.23,78.01,94,6,3.36
136,Tuktoyaktuk,CA,2020-02-19 19:03:37,69.45,-133.04,-0.4,84,75,3.36
137,Igualada,ES,2020-02-19 19:03:37,41.58,1.62,55.0,76,0,1.12
138,Antofagasta,CL,2020-02-19 19:03:37,-23.65,-70.4,72.0,73,20,16.11
139,Nikolskoye,RU,2020-02-19 19:03:37,59.7,30.79,37.0,93,90,13.42
140,Esperance,AU,2020-02-19 19:03:37,-33.87,121.9,59.0,77,19,6.93
141,Hithadhoo,MV,2020-02-19 19:03:38,-0.6,73.08,83.14,79,3,16.31
